1, 1.8238, 1, 0.823799
2, 1.53363, 0.97, 0.563626
3, 1.38579, 0.927, 0.458788
4, 1.28962, 0.911, 0.378621
5, 1.21965, 0.8975, 0.322148
6, 1.1653, 0.8625, 0.302804
7, 1.12125, 0.858, 0.26325
8, 1.08444, 0.849, 0.235438
9, 1.05297, 0.832, 0.220971
10, 1.0256, 0.833, 0.192598
11, 1.00145, 0.8225, 0.178949
12, 0.9799, 0.7935, 0.1864
13, 0.960486, 0.795, 0.165486
14, 0.942855, 0.7945, 0.148355
15, 0.926732, 0.782, 0.144732
16, 0.9119, 0.7805, 0.1314
17, 0.898183, 0.772, 0.126183
18, 0.88544, 0.7815, 0.10394
19, 0.873552, 0.7685, 0.105052
20, 0.862421, 0.758, 0.104421
21, 0.851966, 0.7715, 0.0804659
22, 0.842115, 0.7485, 0.0936149
23, 0.832808, 0.751, 0.0818084
24, 0.823994, 0.7375, 0.0864944
25, 0.815628, 0.7375, 0.0781278
26, 0.80767, 0.712, 0.0956695
27, 0.800085, 0.7075, 0.092585
28, 0.792844, 0.717, 0.0758436
29, 0.785919, 0.713, 0.0729186
30, 0.779286, 0.7, 0.0792857
31, 0.772924, 0.714, 0.0589237
32, 0.766813, 0.683, 0.0838131
33, 0.760937, 0.6915, 0.0694368
34, 0.755279, 0.6865, 0.0687788
35, 0.749825, 0.6915, 0.0583252
36, 0.744563, 0.6985, 0.0460629
37, 0.73948, 0.6755, 0.0639803
38, 0.734567, 0.6765, 0.0580665
39, 0.729812, 0.671, 0.0588118
40, 0.725207, 0.671, 0.0542071
41, 0.720744, 0.668, 0.0527441
42, 0.716415, 0.6665, 0.0499151
43, 0.712213, 0.66, 0.0522131
44, 0.708131, 0.6605, 0.0476314
45, 0.704164, 0.658, 0.0461642
46, 0.700306, 0.669, 0.0313056
47, 0.69655, 0.6335, 0.0630505
48, 0.692894, 0.631, 0.0618939
49, 0.689331, 0.645, 0.0443313
50, 0.685859, 0.641, 0.0448585
51, 0.682471, 0.6345, 0.0479715
52, 0.679166, 0.6405, 0.0386664
53, 0.67594, 0.639, 0.0369399
54, 0.672789, 0.624, 0.0487886
55, 0.669709, 0.629, 0.0407094
56, 0.666699, 0.6325, 0.0341994
57, 0.663756, 0.6205, 0.0432558
58, 0.660876, 0.638, 0.0228761
59, 0.658058, 0.6395, 0.0185578
60, 0.655299, 0.62, 0.0352986
61, 0.652596, 0.614, 0.0385963
62, 0.649949, 0.613, 0.0369488
63, 0.647354, 0.602, 0.0453541
64, 0.64481, 0.5995, 0.0453104
65, 0.642316, 0.6075, 0.0348159
66, 0.639869, 0.618, 0.021869
67, 0.637468, 0.5975, 0.0399679
68, 0.635111, 0.6105, 0.0246113
69, 0.632798, 0.59, 0.0427975
70, 0.630525, 0.6085, 0.0220253
71, 0.628293, 0.595, 0.0332933
72, 0.6261, 0.58, 0.0461003
73, 0.623945, 0.607, 0.016945
74, 0.621826, 0.6035, 0.0183263
75, 0.619743, 0.5885, 0.0312431
76, 0.617694, 0.5755, 0.0421944
77, 0.615679, 0.603, 0.012679
78, 0.613696, 0.5845, 0.0291961
79, 0.611745, 0.5855, 0.0262448
80, 0.609824, 0.5705, 0.039324
81, 0.607933, 0.588, 0.0199331
82, 0.606071, 0.5605, 0.0455711
83, 0.604237, 0.5675, 0.0367373
84, 0.602431, 0.581, 0.0214309
85, 0.600651, 0.5595, 0.0411512
86, 0.598897, 0.591, 0.00789741
87, 0.597169, 0.5795, 0.017669
88, 0.595465, 0.5615, 0.0339652
89, 0.593785, 0.5705, 0.0232854
90, 0.592129, 0.548, 0.0441291
91, 0.590496, 0.5715, 0.0189956
92, 0.588884, 0.594, 0.00511555
93, 0.587295, 0.555, 0.032295
94, 0.585727, 0.558, 0.0277268
95, 0.584179, 0.563, 0.0211793
96, 0.582652, 0.5615, 0.021152
97, 0.581144, 0.5685, 0.0126445
98, 0.579656, 0.573, 0.00665625
99, 0.578187, 0.5605, 0.0176869
100, 0.576736, 0.5545, 0.022236
